title
Computer Faculty
"Senior Software Engineering Lead - AIML, Java/Python with ReactJs"
Senior Member of Technical Staff- Machine Learning& AI
Online Data Analyst - (Bilingual - Odia / English Speakers)
"Senior Data Engineering Consultant - Azure Databricks, Python"
"Online Data Analyst - (Bilingual - Odia / English Speakers)
- job post"
Machine Learning Engineer
Professor/Associate Professor/ Assistant Professor - CSE/CSE / AIML / DS / CY / ISE
Senior AI or ML Engineer
Chief Architect - Gen AI
AI/ML Engineer
Lead AI ML Engineer
"Software Engineering Lead - Contact Center, Genesys, IVR"
Principal AI/ML Engineering
Lecturer in Aviation Management
Senior Software Developer
